name,longitude,latitude
INDOMARET DC TANGERANG 2,106.564182,-6.213785
CCOD BANDUNG BARAT CEMERLANG,107.503909,-6.874524
CCOD PURWAKARTA MARANCANG,107.428837,-6.555678
CCOD GARUT PAPANDAYAN,107.899451,-7.200615
CCOD PANIMBANG,105.839796,-6.39297
CCOD BOGOR CIAWI,106.853016,-6.679603
CCOD PULOGADUNG SULTAN AGUNG,106.976099,-6.214732
CCOD SUBANG CICADAS,107.74528,-6.553354
CCOD KP UTAN CIPUTAT TIMUR,106.74879,-6.298248
CCOD BOGOR YASMIN,106.776372,-6.554841
CCOD CIKARANG LEMAHABANG,107.24355,-6.26667
CCOD SERANG LESTARI,106.137293,-6.128678
CCOD RANGKAS LESTARI,106.316687,-6.351614
CCOD MALINGPING LEBAK,105.998113,-6.777325
CCOD DEPOK PANCORAN MAS,106.820676,-6.399123
CCOD BOGOR SENTUL,106.805739,-6.546486
CCOD BANDUNG LEUWI PANJANG,107.591856,-6.9445
CCOD TASIKMALAYA CEMERLANG,108.266267,-7.309469
CCOD CIREBON KECAPI,108.536251,-6.706422
CCOD LOSARANG INDRAMAYU,108.269614,-6.402647
CCOD CIPONDOH KENANGA,106.681485,-6.206183
CCOD CIANJUR RAWABANGO,107.182861,-6.799283
CCEP Cibitung,107.097437,-6.275921
Satoria Pharma - UDC CAKUNG,106.933693,-6.18172
Satoria Pharma - SDL SEMARANG,110.367817,-7.00794
Satoria Pharma - PPI BANDUNG,107.612776,-6.914794
Satoria Pharma - LAWSIM JAKARTA,106.877224,-6.189068
Satoria Pharma - KFTD TEGAL,109.186881,-6.865179
Satoria Pharma - KFTD TASIKMALAYA,108.201492,-7.310052
Satoria Pharma - KFTD SIDOARJO,112.72064,-7.39789
Satoria Pharma - KFTD SERANG,106.133245,-6.098172
Satoria Pharma - KFTD PUSAT,106.910826,-6.196116
Satoria Pharma - KFTD MATARAM,116.114651,-8.598404
Satoria Pharma - GATRA SIDOARJO,112.681072,-7.364021
Satoria Pharma - UDC YOGYAKARTA,110.385624,-7.757507
Satoria Pharma - UDC SURABAYA,112.74811,-7.275794
Satoria Pharma - UDC SEMARANG,110.436769,-6.985392
Satoria Pharma - UDC MALANG,112.662017,-7.966436
Satoria Pharma - UDC JAKARTA 2,106.938812,-6.183448
Satoria Pharma - UDC DENPASAR (LJR),115.236111,-8.638372
